fid,id,left,top,right,bottom,codearondo,NOM_CHF,CODE_DEPT,NOM_DEPT,numcant,CODE_EPCI,NOM_EPCI,INSEE_COM,NOM_COMM,STATUT,POPULATION,CODE_DEPT_2,NOM_DEPT_2,codearondo_2,longitude,latitude
"318","318",498861.72591274,5415061.79565943,503861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5415061.79565943
"319","319",498861.72591274,5410061.79565943,503861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5410061.79565943
"320","320",498861.72591274,5405061.79565943,503861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5405061.79565943
"321","321",498861.72591274,5400061.79565943,503861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5400061.79565943
"322","322",498861.72591274,5395061.79565943,503861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5395061.79565943
"323","323",498861.72591274,5390061.79565943,503861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5390061.79565943
"324","324",498861.72591274,5385061.79565943,503861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",498861.72591274,5385061.79565943
"386","386",503861.72591274,5415061.79565943,508861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5415061.79565943
"387","387",503861.72591274,5410061.79565943,508861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5410061.79565943
"388","388",503861.72591274,5405061.79565943,508861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5405061.79565943
"389","389",503861.72591274,5400061.79565943,508861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5400061.79565943
"390","390",503861.72591274,5395061.79565943,508861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5395061.79565943
"391","391",503861.72591274,5390061.79565943,508861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5390061.79565943
"392","392",503861.72591274,5385061.79565943,508861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",503861.72591274,5385061.79565943
"454","454",508861.72591274,5415061.79565943,513861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5415061.79565943
"455","455",508861.72591274,5410061.79565943,513861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5410061.79565943
"456","456",508861.72591274,5405061.79565943,513861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5405061.79565943
"457","457",508861.72591274,5400061.79565943,513861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5400061.79565943
"458","458",508861.72591274,5395061.79565943,513861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5395061.79565943
"459","459",508861.72591274,5390061.79565943,513861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5390061.79565943
"460","460",508861.72591274,5385061.79565943,513861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5385061.79565943
"461","461",508861.72591274,5380061.79565943,513861.72591274,5385061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5380061.79565943
"463","463",508861.72591274,5370061.79565943,513861.72591274,5375061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",508861.72591274,5370061.79565943
"522","522",513861.72591274,5415061.79565943,518861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5415061.79565943
"523","523",513861.72591274,5410061.79565943,518861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5410061.79565943
"524","524",513861.72591274,5405061.79565943,518861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5405061.79565943
"525","525",513861.72591274,5400061.79565943,518861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5400061.79565943
"526","526",513861.72591274,5395061.79565943,518861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5395061.79565943
"527","527",513861.72591274,5390061.79565943,518861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5390061.79565943
"528","528",513861.72591274,5385061.79565943,518861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5385061.79565943
"529","529",513861.72591274,5380061.79565943,518861.72591274,5385061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5380061.79565943
"530","530",513861.72591274,5375061.79565943,518861.72591274,5380061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5375061.79565943
"531","531",513861.72591274,5370061.79565943,518861.72591274,5375061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",513861.72591274,5370061.79565943
"570","570",518861.72591274,5515061.79565943,523861.72591274,5520061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84064",LAPALUD,Commune simple,3.4,"84",VAUCLUSE,"284",518861.72591274,5515061.79565943
"571","571",518861.72591274,5510061.79565943,523861.72591274,5515061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84063",LAMOTTE-DU-RHONE,Commune simple,0.4,"84",VAUCLUSE,"284",518861.72591274,5510061.79565943
"572","572",518861.72591274,5505061.79565943,523861.72591274,5510061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84078",MONDRAGON,Commune simple,3.5,"84",VAUCLUSE,"284",518861.72591274,5505061.79565943
"584","584",518861.72591274,5445061.79565943,523861.72591274,5450061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13061",SAINT-PIERRE-DE-MEZOARGUES,Commune simple,0.3,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5445061.79565943
"585","585",518861.72591274,5440061.79565943,523861.72591274,5445061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5440061.79565943
"586","586",518861.72591274,5435061.79565943,523861.72591274,5440061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5435061.79565943
"587","587",518861.72591274,5430061.79565943,523861.72591274,5435061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5430061.79565943
"588","588",518861.72591274,5425061.79565943,523861.72591274,5430061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5425061.79565943
"589","589",518861.72591274,5420061.79565943,523861.72591274,5425061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5420061.79565943
"590","590",518861.72591274,5415061.79565943,523861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5415061.79565943
"591","591",518861.72591274,5410061.79565943,523861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5410061.79565943
"592","592",518861.72591274,5405061.79565943,523861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5405061.79565943
"593","593",518861.72591274,5400061.79565943,523861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5400061.79565943
"594","594",518861.72591274,5395061.79565943,523861.72591274,5400061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5395061.79565943
"595","595",518861.72591274,5390061.79565943,523861.72591274,5395061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5390061.79565943
"596","596",518861.72591274,5385061.79565943,523861.72591274,5390061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5385061.79565943
"597","597",518861.72591274,5380061.79565943,523861.72591274,5385061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5380061.79565943
"598","598",518861.72591274,5375061.79565943,523861.72591274,5380061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5375061.79565943
"599","599",518861.72591274,5370061.79565943,523861.72591274,5375061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",518861.72591274,5370061.79565943
"638","638",523861.72591274,5515061.79565943,528861.72591274,5520061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84064",LAPALUD,Commune simple,3.4,"84",VAUCLUSE,"284",523861.72591274,5515061.79565943
"639","639",523861.72591274,5510061.79565943,528861.72591274,5515061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84019",BOLLENE,Chef-lieu canton,13.8,"84",VAUCLUSE,"284",523861.72591274,5510061.79565943
"640","640",523861.72591274,5505061.79565943,528861.72591274,5510061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84078",MONDRAGON,Commune simple,3.5,"84",VAUCLUSE,"284",523861.72591274,5505061.79565943
"641","641",523861.72591274,5500061.79565943,528861.72591274,5505061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84078",MONDRAGON,Commune simple,3.5,"84",VAUCLUSE,"284",523861.72591274,5500061.79565943
"652","652",523861.72591274,5445061.79565943,528861.72591274,5450061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13017",BOULBON,Commune simple,1.5,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5445061.79565943
"653","653",523861.72591274,5440061.79565943,528861.72591274,5445061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5440061.79565943
"654","654",523861.72591274,5435061.79565943,528861.72591274,5440061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5435061.79565943
"655","655",523861.72591274,5430061.79565943,528861.72591274,5435061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300375",CC Vallée des Baux-Alpilles (CC VBA),"13094",SAINT-ETIENNE-DU-GRES,Commune simple,2.1,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5430061.79565943
"656","656",523861.72591274,5425061.79565943,528861.72591274,5430061.79565943,"213",TARASCON,"13",BOUCHES-DU-RHONE,"1333","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13108",TARASCON,Chef-lieu canton,13.4,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5425061.79565943
"657","657",523861.72591274,5420061.79565943,528861.72591274,5425061.79565943,"213",,"13",BOUCHES-DU-RHONE,"1303","241300375",CC Vallée des Baux-Alpilles (CC VBA),"13038",FONTVIEILLE,Commune simple,3.4,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5420061.79565943
"658","658",523861.72591274,5415061.79565943,528861.72591274,5420061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5415061.79565943
"659","659",523861.72591274,5410061.79565943,528861.72591274,5415061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5410061.79565943
"660","660",523861.72591274,5405061.79565943,528861.72591274,5410061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5405061.79565943
"661","661",523861.72591274,5400061.79565943,528861.72591274,5405061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5400061.79565943
"662","662",523861.72591274,5395061.79565943,528861.72591274,5400061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5395061.79565943
"663","663",523861.72591274,5390061.79565943,528861.72591274,5395061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5390061.79565943
"664","664",523861.72591274,5385061.79565943,528861.72591274,5390061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5385061.79565943
"665","665",523861.72591274,5380061.79565943,528861.72591274,5385061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5380061.79565943
"666","666",523861.72591274,5375061.79565943,528861.72591274,5380061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5375061.79565943
"667","667",523861.72591274,5370061.79565943,528861.72591274,5375061.79565943,"213",ARLES,"13",BOUCHES-DU-RHONE,"1398","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13004",ARLES,Sous-prEfecture,52,"13",BOUCHES-DU-RHONE,"213",523861.72591274,5370061.79565943
"706","706",528861.72591274,5515061.79565943,533861.72591274,5520061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84019",BOLLENE,Chef-lieu canton,13.8,"84",VAUCLUSE,"284",528861.72591274,5515061.79565943
"707","707",528861.72591274,5510061.79565943,533861.72591274,5515061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84019",BOLLENE,Chef-lieu canton,13.8,"84",VAUCLUSE,"284",528861.72591274,5510061.79565943
"708","708",528861.72591274,5505061.79565943,533861.72591274,5510061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84019",BOLLENE,Chef-lieu canton,13.8,"84",VAUCLUSE,"284",528861.72591274,5505061.79565943
"709","709",528861.72591274,5500061.79565943,533861.72591274,5505061.79565943,"284",BOLLENE,"84",VAUCLUSE,"8406","200000628",CC Rhône Lez Provence,"84083",MORNAS,Commune simple,2.2,"84",VAUCLUSE,"284",528861.72591274,5500061.79565943
