fid,AAV2020,AN,BV2012,COUVERT,DEP,DEPCOM,DOM,ECLAIRE,EPCI,DCIRIS,LAMBERT_X,LAMBERT_Y,QP,QUALI_IRIS,QUALI_QP,QUALI_QVA,QUALI_ZFU,QUALI_ZUS,QUALITE_XY,QVA,REG,SDOM,TYPEQU,UU2020,ZFU,ZUS,NB_SALLES,NB_AIREJEU,codearondo
"52",CSZ,"2021","83007",NON,"83","83078",F,NON,"200040210","830780000","955249.5","6289113",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83112",CSZ,CSZ,,"1","383"
"53","492","2021","83119",NON,"83","83101",F,OUI,"200036077","831010000","993984.5","6241844",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83207",CSZ,CSZ,,"4","183"
"54","492","2021","83119",NON,"83","83101",F,OUI,"200036077","831010000","993654.4","6241801",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83207",CSZ,CSZ,,"1","183"
"55","492","2021","83119",NON,"83","83101",F,NON,"200036077","831010000","997615.4","6243323",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F118,"83207",CSZ,CSZ,,"1","183"
"56","492","2021","83119",OUI,"83","83101",F,OUI,"200036077","831010000","993845.7","6241764",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F114,"83207",CSZ,CSZ,,"1","183"
"57","492","2021","83119",OUI,"83","83101",F,OUI,"200036077","831010000","993845.7","6241764",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83207",CSZ,CSZ,,"1","183"
"58","492","2021","83119",NON,"83","83101",F,OUI,"200036077","831010000","993898.9","6241916",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83207",CSZ,CSZ,,"1","183"
"59","492","2021","83119",NON,"83","83101",F,OUI,"200036077","831010000","993799.8","6242002",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83207",CSZ,CSZ,,"3","183"
"60","492","2021","83119",NON,"83","83101",F,NON,"200036077","831010000","996714","6244195",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83207",CSZ,CSZ,,"1","183"
"61",CSZ,"2021","83007",NON,"83","83102",F,OUI,"200040210","831020000","952039.6","6289199",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83112",CSZ,CSZ,,"2","383"
"62",CSZ,"2021","83007",OUI,"83","83102",F,OUI,"200040210","831020000","951949.5","6289128",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F114,"83112",CSZ,CSZ,,"1","383"
"63",CSZ,"2021","83007",NON,"83","83102",F,NON,"200040210","831020000","951893.9","6289023",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83112",CSZ,CSZ,,"1","383"
"64",CSZ,"2021","83007",NON,"83","83102",F,OUI,"200040210","831020000","952028.5","6289172",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83112",CSZ,CSZ,,"3","383"
"65",CSZ,"2021","83007",NON,"83","83102",F,OUI,"200040210","831020000","952021.4","6289229",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,"83112",CSZ,CSZ,,"1","383"
"66",CSZ,"2021","83007",NON,"83","83102",F,OUI,"200040210","831020000","952492.9","6289089",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83112",CSZ,CSZ,,"1","383"
"67",CSZ,"2021","83007",NON,"83","83102",F,NON,"200040210","831020000","952425.1","6289231",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,"83112",CSZ,CSZ,,"2","383"
"68",CSZ,"2021","83007",NON,"83","83102",F,NON,"200040210","831020000","952535.1","6289450",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F109,"83112",CSZ,CSZ,,"1","383"
"69",CSZ,"2021","83007",OUI,"83","83102",F,OUI,"200040210","831020000","952867.6","6288907",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83112",CSZ,CSZ,,"1","383"
"70",CSZ,"2021","83007",NC,"83","83102",F,NC,"200040210","831020000","952732.6","6288809",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83112",CSZ,CSZ,,"1","383"
"71","018","2021","83137",OUI,"83","83103",F,OUI,"248300543","831030000","938291.6","6233986",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F114,"00757",CSZ,CSZ,,"1","283"
"72","018","2021","83137",NON,"83","83103",F,NON,"248300543","831030000","937841.6","6236107",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"00757",CSZ,CSZ,,"1","283"
"73","018","2021","83137",NON,"83","83103",F,OUI,"248300543","831030000","937911","6234322",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"00757",CSZ,CSZ,,"4","283"
"74","018","2021","83137",OUI,"83","83103",F,OUI,"248300543","831030000","937957.5","6235353",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"00757",CSZ,CSZ,,"1","283"
"75","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180110","1008002","6266354",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F103,"83502",CSZ,CSZ,,"16","183"
"76","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180110","1008087","6266411",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F112,"83502",CSZ,CSZ,,"4","183"
"77","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180109","1008203","6264932",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F102,"83502",CSZ,CSZ,,"1","183"
"78","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180110","1007901","6266312",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F114,"83502",CSZ,CSZ,,"1","183"
"79","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180101","1006346","6267288",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F120,"83502",CSZ,CSZ,,"3","183"
"80","092","2021","83061",NON,"83","83118",F,OUI,"200035319",83118_IND,"1011685","6264838",CSZ,"3",X,"2",X,X,Bonne,HZ,"93",F1,F118,"83502",CSZ,CSZ,,"1","183"
"81","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180101","1005630","6266628",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F103,"83502",CSZ,CSZ,,"11","183"
"82","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180110","1008104","6268435",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F103,"83502",CSZ,CSZ,,"1","183"
"83","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180110","1008134","6268292",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F111,"83502",CSZ,CSZ,,"1","183"
"84","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180110","1008052","6268356",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F101,"83502",CSZ,CSZ,,"2","183"
"85","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180110","1008064","6268404",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F120,"83502",CSZ,CSZ,,"2","183"
"86","092","2021","83061",OUI,"83","83118",F,OUI,"200035319","831180107","1006742","6266017",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F120,"83502",CSZ,CSZ,,"3","183"
"87","092","2021","83061",NON,"83","83118",F,NON,"200035319","831180113","1012005","6265615",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F111,"83502",CSZ,CSZ,,"1","183"
"88","092","2021","83061",NON,"83","83118",F,NON,"200035319","831180108","1006602","6265362",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F109,"83502",CSZ,CSZ,,"1","183"
"89","092","2021","83061",NON,"83","83118",F,NON,"200035319","831180113","1010864","6265279",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F106,"83502",CSZ,CSZ,,"4","183"
"90","092","2021","83061",NON,"83","83118",F,NON,"200035319","831180105","1005758","6264861",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F118,"83502",CSZ,CSZ,,"1","183"
"91","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180105","1005480","6265619",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F102,"83502",CSZ,CSZ,,"1","183"
"92","092","2021","83061",IND,"83","83118",F,OUI,"200035319","831180111","1005704","6266240",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F102,"83502",CSZ,CSZ,,"1","183"
"93","092","2021","83061",NON,"83","83118",F,OUI,"200035319","831180113","1012300","6267057",CSZ,"2",X,"2",X,X,Bonne,HZ,"93",F1,F102,"83502",CSZ,CSZ,,"1","183"
"94",CSZ,"2021","83150",NON,"83","83066",F,NON,"200040202","830660000","929561.5","6290266",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","383"
"95",CSZ,"2021","83150",NON,"83","83066",F,NON,"200040202","830660000","929507.2","6290277",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"2","383"
"96",CSZ,"2021","83150",NON,"83","83066",F,NON,"200040202","830660000","929523.7","6290350",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,CSZ,CSZ,CSZ,,"1","383"
"97",CSZ,"2021","83150",NON,"83","83066",F,NON,"200040202","830660000","929593.5","6290118",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","383"
"98",CSZ,"2021","83150",NON,"83","83066",F,OUI,"200040202","830660000","927436.6","6286616",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"1","383"
"99",CSZ,"2021","83150",NON,"83","83066",F,NON,"200040202","830660000","929776.5","6289839",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","383"
"100",CSZ,"2021","83150",OUI,"83","83066",F,OUI,"200040202","830660000","929747.8","6289912",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","383"
"101","301","2021","83073",NON,"83","83067",F,OUI,"248300550","830670000","966740.5","6251946",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83308",CSZ,CSZ,,"2","383"
"102","301","2021","83073",OUI,"83","83067",F,OUI,"248300550","830670000","966693.6","6251901",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F121,"83308",CSZ,CSZ,,"1","383"
"103","301","2021","83073",NON,"83","83067",F,OUI,"248300550","830670000","966798.4","6251960",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,"83308",CSZ,CSZ,,"1","383"
"104","301","2021","83073",NON,"83","83067",F,NON,"248300550","830670000","966713.9","6252018",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83308",CSZ,CSZ,,"1","383"
"105","301","2021","83073",OUI,"83","83067",F,OUI,"248300550","830670000","966741.3","6252062",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F114,"83308",CSZ,CSZ,,"1","383"
"106","301","2021","83073",NON,"83","83067",F,OUI,"248300550","830670000","966665.6","6252026",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83308",CSZ,CSZ,,"1","383"
"107","301","2021","83073",NON,"83","83067",F,OUI,"248300550","830670000","967298.2","6252714",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83308",CSZ,CSZ,,"4","383"
"108","301","2021","83073",OUI,"83","83067",F,OUI,"248300550","830670000","967237.9","6252699",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83308",CSZ,CSZ,,"1","383"
"109","301","2021","83073",OUI,"83","83067",F,OUI,"248300550","830670000","967292.8","6252765",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F114,"83308",CSZ,CSZ,,"1","383"
"110","301","2021","83073",NON,"83","83067",F,NON,"248300550","830670000","967605.8","6252021",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83308",CSZ,CSZ,,"1","383"
"111",CSZ,"2021","83115",OUI,"83","83068",F,OUI,"200036077","830680000","988287.1","6246853",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83311",CSZ,CSZ,,"3","183"
"112",CSZ,"2021","83115",NON,"83","83068",F,NON,"200036077","830680000","992368.8","6250402",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,"83311",CSZ,CSZ,,"1","183"
"113",CSZ,"2021","83115",OUI,"83","83068",F,OUI,"200036077","830680000","985839","6247952",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83311",CSZ,CSZ,,"2","183"
"114",CSZ,"2021","83115",NON,"83","83068",F,NON,"200036077","830680000","988594.1","6248108",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,"83311",CSZ,CSZ,,"2","183"
"115","405","2021","83042",NON,"83","83079",F,NON,"200036077","830790000","981591","6240424",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","183"
"116","405","2021","83042",NON,"83","83079",F,NON,"200036077","830790000","981572.4","6240478",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","183"
"117","405","2021","83042",NON,"83","83079",F,NON,"200036077","830790000","981680.3","6240558",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","183"
"118","405","2021","83042",NON,"83","83079",F,NON,"200036077","830790000","981572","6240505",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,CSZ,CSZ,CSZ,,"1","183"
"119","405","2021","83042",OUI,"83","83079",F,OUI,"200036077","830790000","981962.9","6240354",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","183"
"120",CSZ,"2021","83055",NON,"83","83080",F,NON,"200004802","830800000","1001243","6296684",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"1","183"
"121",CSZ,"2021","83055",NON,"83","83080",F,NON,"200004802","830800000","998985.7","6294475",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"1","183"
"122",CSZ,"2021","83055",NON,"83","83080",F,NON,"200004802","830800000","999008.3","6294544",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","183"
"123","031","2021","83081",OUI,"83","83081",F,OUI,"200004802","830810000","1004227","6285423",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83209",CSZ,CSZ,,"2","183"
"124","031","2021","83081",NON,"83","83081",F,NON,"200004802","830810000","1005036","6284663",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83209",CSZ,CSZ,,"2","183"
"125","031","2021","83081",NON,"83","83081",F,NON,"200004802","830810000","1005974","6283584",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F118,"83209",CSZ,CSZ,,"1","183"
"126","031","2021","83081",OUI,"83","83081",F,OUI,"200004802","830810000","1005390","6284983",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F121,"83209",CSZ,CSZ,,"1","183"
"127","031","2021","83081",OUI,"83","83081",F,OUI,"200004802","830810000","1005406","6285009",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F121,"83209",CSZ,CSZ,,"1","183"
"128","031","2021","83081",OUI,"83","83081",F,OUI,"200004802","830810000","1004791","6285409",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83209",CSZ,CSZ,,"4","183"
"129","031","2021","83081",NON,"83","83081",F,OUI,"200004802","830810000","1004448","6287129",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83209",CSZ,CSZ,,"4","183"
"130","031","2021","83081",OUI,"83","83081",F,OUI,"200004802","830810000","1004398","6287195",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83209",CSZ,CSZ,,"1","183"
"131","031","2021","83081",NON,"83","83081",F,NON,"200004802","830810000","1004397","6287133",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83209",CSZ,CSZ,,"1","183"
"132","031","2021","83081",NON,"83","83081",F,OUI,"200004802","830810000","1004534","6287149",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83209",CSZ,CSZ,,"1","183"
"133","031","2021","83081",NON,"83","83081",F,OUI,"200004802","830810000","1005244","6288845",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83209",CSZ,CSZ,,"1","183"
"134","031","2021","83081",NON,"83","83081",F,NON,"200004802","830810000","1005190","6288844",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F109,"83209",CSZ,CSZ,,"1","183"
"135",CSZ,"2021","83050",NON,"83","83082",F,OUI,"248300493","830820000","981056.9","6285059",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","183"
"136","018","2021","83137",NON,"83","83103",F,NON,"248300543","831030000","939556.4","6233983",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"00757",CSZ,CSZ,,"3","283"
