3072 101904
 9 77 11.97
 18 77 4.56
 33 77 5.13
 34 77 6.84
 1 78 15.39
 2 78 10.26
 7 78 9.69
 9 78 10.83
 19 78 4.56
 30 78 5.7
 35 78 5.13
 1 79 13.68
 3 79 10.26
 7 79 7.98
 9 79 9.12
 20 79 4.56
 31 79 5.7
 35 79 3.42
 1 80 149.24
 4 80 95.94
 7 80 95.94
 9 80 106.6
 21 80 42.64
 32 80 53.3
 35 80 53.3
 1 81 56.85
 5 81 34.11
 7 81 37.9
 9 81 41.69
 22 81 15.16
 33 81 18.95
 35 81 22.74
 1 82 553.162
 6 82 368.775
 7 82 348.287
 9 82 389.262
 23 82 163.9
 34 82 204.875
 35 82 184.387
 1 83 2.1
 2 83 1.2
 8 83 1.7
 9 83 1.3
 24 83 0.8
 30 83 0.4
 36 83 0.9
 1 84 1.8
 3 84 1.2
 8 84 1.4
 9 84 1
 25 84 0.8
 31 84 0.4
 36 84 0.6
 1 85 20.57
 4 85 11.22
 8 85 16.83
 9 85 13.09
 26 85 7.48
 32 85 3.74
 36 85 9.35
 1 86 7.98
 5 86 3.99
 8 86 6.65
 9 86 5.32
 27 86 2.66
 33 86 1.33
 36 86 3.99
 1 87 75.5475
 6 87 43.17
 8 87 61.1575
 9 87 46.7675
 28 87 28.78
 34 87 14.39
 36 87 32.3775
 1 88 262.9
 7 88 143.4
 8 88 215.1
 9 88 167.3
 29 88 95.6
 35 88 47.8
 36 88 119.5
 1 89 0.6
 2 89 0.375
 9 89 0.4
 30 89 0.175
 37 89 0.225
 1 90 0.525
 3 90 0.375
 9 90 0.325
 31 90 0.175
 37 90 0.15
 1 91 5.625
 4 91 3.375
 9 91 3.825
 32 91 1.575
 37 91 2.25
 1 92 2.16
 5 92 1.2
 9 92 1.52
 33 92 0.56
 37 92 0.96
 1 93 20.82
 6 93 13.0125
 9 93 13.88
 34 93 6.0725
 37 93 7.8075
 1 94 72
 7 94 43.2
 9 94 48.96
 35 94 20.16
 37 94 28.8
 1 95 9.595
 8 95 7.575
 9 95 5.555
 36 95 3.535
 37 95 2.02
 1 96 0.6075
 2 96 0.405
 3 96 0.4725
 4 96 0.3825
 10 96 0.27
 11 96 0.18
 38 96 0.2025
 1 97 2.325
 3 97 1.86
 4 97 1.55
 5 97 1.395
 13 97 0.93
 14 97 0.62
 38 97 0.93
 1 98 22.545
 3 98 17.535
 4 98 14.195
 6 98 15.03
 16 98 10.02
 17 98 6.68
 38 98 7.515
 1 99 1.17
 2 99 0.8775
 3 99 0.975
 5 99 0.78
 6 99 0.8775
 10 99 0.6825
 12 99 0.4875
 13 99 0.585
 15 99 0.585
 16 99 0.6825
 18 99 0.4875
 39 99 0.2925
 41 99 0.39
 43 99 0.195
 44 99 0.2925
 1 100 12.4
 2 100 9.61
 4 100 9.3
 5 100 8.68
 6 100 9.61
 11 100 6.51
 12 100 5.89
 14 100 5.58
 15 100 6.82
 17 100 6.51
 18 100 5.89
 40 100 2.79
 42 100 3.72
 43 100 3.1
 45 100 2.79
 1 101 77.77
 3 101 61.105
 4 101 49.995
 7 101 49.995
 20 101 33.33
 21 101 22.22
 38 101 27.775
 1 102 4.07
 2 102 3.08
 3 102 3.41
 5 102 2.75
 7 102 2.97
 10 102 2.42
 12 102 1.76
 13 102 2.09
 19 102 1.98
 20 102 2.31
 22 102 1.65
 39 102 1.1
 46 102 1.32
 48 102 0.66
 49 102 0.99
 1 103 42.1275
 2 103 32.88
 4 103 31.8525
 5 103 29.7975
 7 103 31.8525
 11 103 22.605
 12 103 20.55
 14 103 19.5225
 19 103 22.605
 21 103 21.5775
 22 103 19.5225
 40 103 10.275
 47 103 12.33
 48 103 10.275
 50 103 9.2475
 1 104 40.29
 2 104 29.625
 3 104 33.18
 6 104 29.625
 7 104 28.44
 10 104 22.515
 15 104 18.96
 16 104 22.515
 19 104 17.775
 20 104 21.33
 23 104 17.775
 41 104 11.85
 46 104 10.665
 51 104 7.11
 52 104 10.665
 1 105 421.99
 2 105 322.045
 4 105 310.94
 6 105 322.045
 7 105 310.94
 11 105 210.995
 15 105 222.1
 17 105 210.995
 19 105 210.995
 21 105 199.89
 23 105 210.995
 42 105 111.05
 47 105 99.945
 51 105 111.05
 53 105 99.945
 1 106 157.9
 2 106 122.372
 5 106 110.53
 6 106 122.372
 7 106 118.425
 12 106 75.0025
 15 106 86.845
 18 106 75.0025
 19 106 82.8975
 22 106 71.055
 23 106 82.8975
 43 106 39.475
 48 106 35.5275
 51 106 47.37
 54 106 35.5275
 1 107 146.057
 3 107 122.372
 5 107 98.6875
 6 107 110.53
 7 107 106.582
 13 107 75.0025
 16 107 86.845
 18 107 63.16
 20 107 82.8975
 22 107 59.2125
 23 107 71.055
 44 107 39.475
 49 107 35.5275
 52 107 47.37
 54 107 23.685
 1 108 1515.77
 4 108 1146.07
 5 108 1072.13
 6 108 1183.04
 7 108 1146.07
 14 108 702.43
 17 108 813.34
 18 108 739.4
 21 108 776.37
 22 108 702.43
 23 108 813.34
 45 108 369.7
 50 108 332.73
 53 108 443.64
 54 108 369.7
 1 109 10.725
 3 109 7.8
 4 109 5.85
 8 109 8.775
 25 109 5.85
 26 109 3.9
 38 109 1.95
 1 110 0.62
 2 110 0.44
 3 110 0.5
 5 110 0.38
 8 110 0.54
 10 110 0.32
 12 110 0.2
 13 110 0.26
 24 110 0.36
 25 110 0.42
 27 110 0.3
 39 110 0.08
 55 110 0.24
 57 110 0.12
 58 110 0.18
 1 111 6.3
 2 111 4.68
 4 111 4.5
 5 111 4.14
 8 111 5.58
 11 111 2.88
 12 111 2.52
 14 111 2.34
 24 111 3.96
 26 111 3.78
 27 111 3.42
 40 111 0.72
 56 111 2.16
 57 111 1.8
 59 111 1.62
 1 112 5.81
 2 112 3.9425
 3 112 4.565
 6 112 3.9425
 8 112 4.98
 10 112 2.6975
 15 112 2.075
 16 112 2.6975
 24 112 3.1125
 25 112 3.735
 28 112 3.1125
 41 112 0.83
 55 112 1.8675
 60 112 1.245
 61 112 1.8675
 1 113 62.4
 2 113 44.85
 4 113 42.9
 6 113 44.85
 8 113 54.6
 11 113 25.35
 15 113 27.3
 17 113 25.35
 24 113 37.05
 26 113 35.1
 28 113 37.05
 42 113 7.8
 56 113 17.55
 60 113 19.5
 62 113 17.55
 1 114 23.545
 2 114 17.3125
 5 114 15.235
 6 114 17.3125
 8 114 20.775
 12 114 9.0025
 15 114 11.08
 18 114 9.0025
 24 114 14.5425
 27 114 12.465
 28 114 14.5425
 43 114 2.77
 57 114 6.2325
 60 114 8.31
 63 114 6.2325
 1 115 21.4675
 3 115 17.3125
 5 115 13.1575
 6 115 15.235
 8 115 18.6975
 13 115 9.0025
 16 115 11.08
 18 115 6.925
 25 115 14.5425
 27 115 10.3875
 28 115 12.465
 44 115 2.77
 58 115 6.2325
 61 115 8.31
 63 115 4.155
 1 116 227.237
 4 116 162.313
 5 116 149.327
 6 116 168.805
 8 116 201.268
 14 116 84.4025
 17 116 103.88
 18 116 90.895
 26 116 136.342
 27 116 123.357
 28 116 142.835
 45 116 25.97
 59 116 58.4325
 62 116 77.91
 63 116 64.925
 1 117 20.0825
 2 117 13.85
 3 117 15.9275
 7 117 13.1575
 8 117 17.3125
 10 117 9.695
 19 117 6.925
 20 117 9.0025
 24 117 11.08
 25 117 13.1575
 29 117 10.3875
 46 117 2.77
 55 117 6.925
 64 117 4.155
 65 117 6.2325
 1 118 213.757
 2 118 155.46
 4 118 148.982
 7 118 148.982
 8 118 187.848
 11 118 90.685
 19 118 90.685
 21 118 84.2075
 24 118 129.55
 26 118 123.073
 29 118 123.073
 47 118 25.91
 56 118 64.775
 64 118 64.775
 66 118 58.2975
 1 119 80.5875
 2 119 59.865
 5 119 52.9575
 7 119 57.5625
 8 119 71.3775
 12 119 32.235
 19 119 36.84
 22 119 29.9325
 24 119 50.655
 27 119 43.7475
 29 119 48.3525
 48 119 9.21
 57 119 23.025
 64 119 27.63
 67 119 20.7225
 1 120 73.68
 3 120 59.865
 5 120 46.05
 7 120 50.655
 8 120 64.47
 13 120 32.235
 20 120 36.84
 22 120 23.025
 25 120 50.655
 27 120 36.84
 29 120 41.445
 49 120 9.21
 58 120 23.025
 65 120 27.63
 67 120 13.815
 1 121 776.34
 4 121 560.69
 5 121 517.56
 7 121 560.69
 8 121 690.08
 14 121 301.91
 21 121 345.04
 22 121 301.91
 26 121 474.43
 27 121 431.3
 29 121 474.43
 50 121 86.26
 59 121 215.65
 66 121 258.78
 67 121 215.65
 1 122 796.72
 2 122 572.642
 6 122 572.642
 7 122 547.745
 8 122 697.13
 15 122 348.565
 19 122 323.667
 23 122 323.667
 24 122 473.052
 28 122 473.052
 29 122 448.155
 51 122 99.59
 60 122 248.975
 64 122 224.077
 68 122 224.077
 1 123 722.027
 3 123 572.642
 6 123 497.95
 7 123 473.052
 8 123 622.438
 16 123 348.565
 20 123 323.667
 23 123 248.975
 25 123 473.052
 28 123 398.36
 29 123 373.462
 52 123 99.59
 61 123 248.975
 65 123 224.077
 68 123 149.385
 1 124 7696.43
 4 124 5364.18
 6 124 5597.4
 7 124 5364.18
 8 124 6763.53
 17 124 3265.15
 21 124 3031.93
 23 124 3265.15
 26 124 4431.27
 28 124 4664.5
 29 124 4431.27
 53 124 932.9
 62 124 2332.25
 66 124 2099.03
 68 124 2332.25
 1 125 2900.71
 5 125 1906.18
 6 125 2154.81
 7 125 2071.94
 8 125 2569.2
 18 125 1160.29
 22 125 1077.41
 23 125 1326.04
 27 125 1574.67
 28 125 1823.31
 29 125 1740.43
 54 125 331.51
 63 125 828.775
 67 125 745.898
 68 125 994.53
 1 126 1.17
 3 126 0.9
 4 126 0.72
 9 126 0.81
 31 126 0.54
 32 126 0.36
 38 126 0.36
 1 127 0.0875
 2 127 0.065
 3 127 0.0725
 5 127 0.0575
 9 127 0.0675
 10 127 0.05
 12 127 0.035
 13 127 0.0425
 30 127 0.045
 31 127 0.0525
 33 127 0.0375
 39 127 0.02
 69 127 0.03
 71 127 0.015
 72 127 0.0225
 1 128 0.6825
 2 128 0.525
 4 128 0.5075
 5 128 0.4725
 9 128 0.5425
 11 128 0.35
 12 128 0.315
 14 128 0.2975
 30 128 0.385
 32 128 0.3675
 33 128 0.3325
 40 128 0.14
 70 128 0.21
 71 128 0.175
 73 128 0.1575
 1 129 0.64
 2 129 0.46
 3 129 0.52
 6 129 0.46
 9 129 0.48
 10 129 0.34
 15 129 0.28
 16 129 0.34
 30 129 0.3
 31 129 0.36
 34 129 0.3
 41 129 0.16
 69 129 0.18
 74 129 0.12
 75 129 0.18
 1 130 6.39
 2 130 4.7925
 4 130 4.615
 6 130 4.7925
 9 130 4.97
 11 130 3.0175
 15 130 3.195
 17 130 3.0175
 30 130 3.3725
 32 130 3.195
 34 130 3.3725
 42 130 1.42
 70 130 1.5975
 74 130 1.775
 76 130 1.5975
 1 131 2.375
 2 131 1.8125
 5 131 1.625
 6 131 1.8125
 9 131 1.875
 12 131 1.0625
 15 131 1.25
 18 131 1.0625
 30 131 1.3125
 33 131 1.125
 34 131 1.3125
 43 131 0.5
 71 131 0.5625
 74 131 0.75
 77 131 0.5625
 1 132 2.1875
 3 132 1.8125
 5 132 1.4375
 6 132 1.625
 9 132 1.6875
 13 132 1.0625
 16 132 1.25
 18 132 0.875
 31 132 1.3125
 33 132 0.9375
 34 132 1.125
 44 132 0.5
 72 132 0.5625
 75 132 0.75
 77 132 0.375
 1 133 23.1075
 4 133 17.1825
 5 133 15.9975
 6 133 17.775
 9 133 18.3675
 14 133 10.0725
 17 133 11.85
 18 133 10.665
 32 133 12.4425
 33 133 11.2575
 34 133 13.035
 45 133 4.74
 73 133 5.3325
 76 133 7.11
 77 133 5.925
 1 134 2.0625
 2 134 1.5
 3 134 1.6875
 7 134 1.4375
 9 134 1.5625
 10 134 1.125
 19 134 0.875
 20 134 1.0625
 30 134 1
 31 134 1.1875
 35 134 0.9375
 46 134 0.5
 69 134 0.625
 78 134 0.375
 79 134 0.5625
 1 135 21.9225
 2 135 16.59
 4 135 15.9975
 7 135 15.9975
 9 135 17.1825
 11 135 10.665
 19 135 10.665
 21 135 10.0725
 30 135 11.85
 32 135 11.2575
 35 135 11.2575
 47 135 4.74
 70 135 5.925
 78 135 5.925
 80 135 5.3325
 1 136 8.19
 2 136 6.3
 5 136 5.67
 7 136 6.09
 9 136 6.51
 12 136 3.78
 19 136 4.2
 22 136 3.57
 30 136 4.62
 33 136 3.99
 35 136 4.41
 48 136 1.68
 71 136 2.1
 78 136 2.52
 81 136 1.89
 1 137 7.56
 3 137 6.3
 5 137 5.04
 7 137 5.46
 9 137 5.88
 13 137 3.78
 20 137 4.2
 22 137 2.94
 31 137 4.62
 33 137 3.36
 35 137 3.78
 49 137 1.68
 72 137 2.1
 79 137 2.52
 81 137 1.26
 1 138 78.9
 4 138 59.175
 5 138 55.23
 7 138 59.175
 9 138 63.12
 14 138 35.505
 21 138 39.45
 22 138 35.505
 32 138 43.395
 33 138 39.45
 35 138 43.395
 50 138 15.78
 73 138 19.725
 80 138 23.67
 81 138 19.725
 1 139 81.99
 2 139 61.4925
 6 139 61.4925
 7 139 59.215
 9 139 63.77
 15 139 40.995
 19 139 38.7175
 23 139 38.7175
 30 139 43.2725
 34 139 43.2725
 35 139 40.995
 51 139 18.22
 74 139 22.775
 78 139 20.4975
 82 139 20.4975
 1 140 75.1575
 3 140 61.4925
 6 140 54.66
 7 140 52.3825
 9 140 56.9375
 16 140 40.995
 20 140 38.7175
 23 140 31.885
 31 140 43.2725
 34 140 36.44
 35 140 34.1625
 52 140 18.22
 75 140 22.775
 79 140 20.4975
 82 140 13.665
 1 141 788.932
 4 141 575.708
 6 141 597.03
 7 141 575.708
 9 141 618.352
 17 141 383.805
 21 141 362.483
 23 141 383.805
 32 141 405.128
 34 141 426.45
 35 141 405.128
 53 141 170.58
 76 141 213.225
 80 141 191.902
 82 141 213.225
 1 142 295.522
 5 142 204.592
 6 142 227.325
 7 142 219.747
 9 142 234.902
 18 142 136.395
 22 142 128.818
 23 142 151.55
 33 142 143.973
 34 142 166.705
 35 142 159.128
 54 142 60.62
 77 142 75.775
 81 142 68.1975
 82 142 90.93
 1 143 0.27
 2 143 0.18
 3 143 0.21
 8 143 0.23
 9 143 0.19
 10 143 0.12
 24 143 0.14
 25 143 0.17
 30 143 0.1
 31 143 0.13
 36 143 0.15
 55 143 0.08
 69 143 0.04
 83 143 0.06
 84 143 0.09
 1 144 3.255
 2 144 2.31
 4 144 2.205
 8 144 2.835
 9 144 2.415
 11 144 1.26
 24 144 1.89
 26 144 1.785
 30 144 1.47
 32 144 1.365
 36 144 1.995
 56 144 0.84
 70 144 0.42
 83 144 1.05
 85 144 0.945
 1 145 1.2375
 2 145 0.9
 5 145 0.7875
 8 145 1.0875
 9 145 0.9375
 12 145 0.45
 24 145 0.75
 27 145 0.6375
 30 145 0.6
 33 145 0.4875
 36 145 0.7875
 57 145 0.3
 71 145 0.15
 83 145 0.45
 86 145 0.3375
 1 146 1.125
 3 146 0.9
 5 146 0.675
 8 146 0.975
 9 146 0.825
 13 146 0.45
 25 146 0.75
 27 146 0.525
 31 146 0.6
 33 146 0.375
 36 146 0.675
 58 146 0.3
 72 146 0.15
 84 146 0.45
 86 146 0.225
 1 147 11.815
 4 147 8.34
 5 147 7.645
 8 147 10.425
 9 147 9.035
 14 147 4.17
 26 147 6.95
 27 147 6.255
 32 147 5.56
 33 147 4.865
 36 147 7.645
 59 147 2.78
 73 147 1.39
 85 147 4.17
 86 147 3.475
 1 148 12
 2 148 8.4
 6 148 8.4
 8 148 10.4
 9 148 8.8
 15 148 4.8
 24 148 6.8
 28 148 6.8
 30 148 5.2
 34 148 5.2
 36 148 7.2
 60 148 3.2
 74 148 1.6
 83 148 3.6
 87 148 3.6
 1 149 10.8
 3 149 8.4
 6 149 7.2
 8 149 9.2
 9 149 7.6
 16 149 4.8
 25 149 6.8
 28 149 5.6
 31 149 5.2
 34 149 4
 36 149 6
 61 149 3.2
 75 149 1.6
 84 149 3.6
 87 149 2.4
 1 150 116.095
 4 150 78.645
 6 150 82.39
 8 150 101.115
 9 150 86.135
 17 150 44.94
 26 150 63.665
 28 150 67.41
 32 150 48.685
 34 150 52.43
 36 150 71.155
 62 150 29.96
 76 150 14.98
 85 150 33.705
 87 150 37.45
 1 151 43.89
 5 151 27.93
 6 151 31.92
 8 151 38.57
 9 151 33.25
 18 151 15.96
 27 151 22.61
 28 151 26.6
 33 151 17.29
 34 151 21.28
 36 151 27.93
 63 151 10.64
 77 151 5.32
 86 151 11.97
 87 151 15.96
 1 152 41.1525
 2 152 29.205
 7 152 27.8775
 8 152 35.8425
 9 152 30.5325
 19 152 15.93
 24 152 23.895
 29 152 22.5675
 30 152 18.585
 35 152 17.2575
 36 152 25.2225
 64 152 10.62
 78 152 5.31
 83 152 13.275
 88 152 11.9475
 1 153 37.17
 3 153 29.205
 7 153 23.895
 8 153 31.86
 9 153 26.55
 20 153 15.93
 25 153 23.895
 29 153 18.585
 31 153 18.585
 35 153 13.275
 36 153 21.24
 65 153 10.62
 79 153 5.31
 84 153 13.275
 88 153 7.965
 1 154 398
 4 154 273.625
 7 154 273.625
 8 154 348.25
 9 154 298.5
 21 154 149.25
 26 154 223.875
 29 154 223.875
 32 154 174.125
 35 154 174.125
 36 154 248.75
 66 154 99.5
 80 154 49.75
 85 154 124.375
 88 154 124.375
 1 155 150.28
 5 155 97.24
 7 155 106.08
 8 155 132.6
 9 155 114.92
 22 155 53.04
 27 155 79.56
 29 155 88.4
 33 155 61.88
 35 155 70.72
 36 155 97.24
 67 155 35.36
 81 155 17.68
 86 155 44.2
 88 155 53.04
 1 156 1481.88
 6 156 1051.66
 7 156 1003.85
 8 156 1290.67
 9 156 1099.46
 23 156 573.63
 28 156 860.445
 29 156 812.643
 34 156 669.235
 35 156 621.432
 36 156 908.248
 68 156 382.42
 82 156 191.21
 87 156 478.025
 88 156 430.223
 1 157 0.075
 2 157 0.0525
 3 157 0.06
 9 157 0.055
 10 157 0.0375
 30 157 0.0325
 31 157 0.04
 37 157 0.0375
 69 157 0.0175
 89 157 0.015
 90 157 0.0225
 1 158 0.85
 2 158 0.625
 4 158 0.6
 9 158 0.65
 11 158 0.375
 30 158 0.425
 32 158 0.4
 37 158 0.475
 70 158 0.175
 89 158 0.25
 91 158 0.225
 1 159 0.36
 2 159 0.27
 5 159 0.24
 9 159 0.28
 12 159 0.15
 30 159 0.19
 33 159 0.16
 37 159 0.21
 71 159 0.07
 89 159 0.12
 92 159 0.09
 1 160 0.33
 3 160 0.27
 5 160 0.21
 9 160 0.25
 13 160 0.15
 31 160 0.19
 33 160 0.13
 37 160 0.18
 72 160 0.07
 90 160 0.12
 92 160 0.06
 1 161 3.0525
 4 161 2.2275
 5 161 2.0625
 9 161 2.3925
 14 161 1.2375
 32 161 1.5675
 33 161 1.4025
 37 161 1.815
 73 161 0.5775
 91 161 0.99
 92 161 0.825
 1 162 3.2175
 2 162 2.34
 6 162 2.34
 9 162 2.4375
 15 162 1.4625
 30 162 1.56
 34 162 1.56
 37 162 1.755
 74 162 0.6825
 89 162 0.8775
 93 162 0.8775
 1 163 2.925
 3 163 2.34
 6 163 2.0475
 9 163 2.145
 16 163 1.4625
 31 163 1.56
 34 163 1.2675
 37 163 1.4625
 75 163 0.6825
 90 163 0.8775
 93 163 0.585
 1 164 30.685
 4 164 21.66
 6 164 22.5625
 9 164 23.465
 17 164 13.5375
 32 164 14.44
 34 164 15.3425
 37 164 17.1475
 76 164 6.3175
 91 164 8.1225
 93 164 9.025
 1 165 11.52
 5 165 7.68
 6 165 8.64
 9 165 8.96
 18 165 4.8
 33 165 5.12
 34 165 6.08
 37 165 6.72
 77 165 2.24
 92 165 2.88
 93 165 3.84
 1 166 10.88
 2 166 8
 7 166 7.68
 9 166 8.32
 19 166 4.8
 30 166 5.44
 35 166 5.12
 37 166 6.08
 78 166 2.24
 89 166 3.2
 94 166 2.88
 1 167 9.92
 3 167 8
 7 167 6.72
 9 167 7.36
 20 167 4.8
 31 167 5.44
 35 167 4.16
 37 167 5.12
 79 167 2.24
 90 167 3.2
 94 167 1.92
 1 168 104.912
 4 168 74.9375
 7 168 74.9375
 9 168 80.9325
 21 168 44.9625
 32 168 50.9575
 35 168 50.9575
 37 168 59.95
 80 168 20.9825
 91 168 29.975
 94 168 29.975
 1 169 39.405
 5 169 26.625
 7 169 28.755
 9 169 30.885
 22 169 15.975
 33 169 18.105
 35 169 20.235
 37 169 23.43
 81 169 7.455
 92 169 10.65
 94 169 12.78
 1 170 391.85
 6 170 288.125
 7 170 276.6
 9 170 299.65
 23 170 172.875
 34 170 195.925
 35 170 184.4
 37 170 218.975
 82 170 80.675
 93 170 115.25
 94 170 103.725
 1 171 1.54
 2 171 1.045
 8 171 1.32
 9 171 1.1
 24 171 0.825
 30 171 0.605
 36 171 0.88
 37 171 0.715
 83 171 0.385
 89 171 0.22
 95 171 0.495
 1 172 1.375
 3 172 1.045
 8 172 1.155
 9 172 0.935
 25 172 0.825
 31 172 0.605
 36 172 0.715
